X,Y,NA_08,NA_13
71.58095955,33.97259673,NA-1,NA-1
71.48803395,33.96888261,NA-2,NA-2
71.58959824,34.04151382,NA-3,NA-3
71.61235486,33.82785656,NA-4,NA-4
71.88947194,33.92381257,NA-5,NA-5
72.10288786,33.87616881,NA-6,NA-6
71.80590211,34.14903351,NA-7,NA-7
71.67286838,34.28194945,NA-8,NA-8
72.1052192,34.12876044,NA-9,NA-9
72.01441947,34.34250623,NA-10,NA-10
72.21764805,34.30796039,NA-11,NA-11
72.38145939,34.16829037,NA-12,NA-12
72.53287579,34.07085469,NA-13,NA-13
71.56046606,33.43269686,NA-14,NA-14
71.1200493,33.11493048,NA-15,NA-15
70.86688528,33.41866718,NA-16,NA-16
73.36314976,34.18772284,NA-17,NA-17
73.24234513,34.04796177,NA-18,NA-18
72.91420088,33.99911026,NA-19,NA-19
73.55876499,34.71420113,NA-20,NA-20
72.96768628,34.44421688,NA-21,NA-21
73.13699342,34.75489401,NA-22,NA-22
73.22506749,35.27999148,NA-23,NA-23
70.79764468,31.74156983,NA-24,NA-24
70.54468147,32.00244056,NA-25,NA-25
70.66343281,32.89584046,NA-26,NA-26
70.85816531,32.55441784,NA-27,NA-27
72.51940504,34.44589001,NA-28,NA-28
72.31097124,34.74042267,NA-29,NA-29
72.51616799,35.33692082,NA-30,NA-30
72.72207792,34.8225339,NA-31,NA-31
72.24543936,36.20922457,NA-32,NA-32
72.05097728,35.25958745,NA-33,NA-33
71.88245752,34.8286829,NA-34,NA-34
71.90535035,34.52392345,NA-35,NA-35
71.34659357,34.43780449,NA-36,NA-36
70.10668325,33.8167002,NA-37,NA-37
70.45393008,33.60681962,NA-38,NA-38
71.00225333,33.68730828,NA-39,NA-39
69.96092211,32.93708348,NA-40,NA-40
69.61512806,32.23271011,NA-41,NA-41
69.9825074,32.49058958,NA-42,NA-42
71.336093,34.75928674,NA-43,NA-43
71.58208516,34.73461491,NA-44,NA-44
71.21002019,34.07368639,NA-45,NA-45
70.97717187,33.84768082,NA-46,NA-46
70.52864003,32.50054528,NA-47,NA-47
72.98389895,33.65665534,NA-48,NA-48
73.22447072,33.64859072,NA-49,NA-49
73.48113248,33.66204231,NA-50,NA-50
73.27760419,33.20951247,NA-51,NA-51
73.11538582,33.38321818,NA-52,NA-52
72.84932018,33.45688216,NA-53,NA-53
73.06294879,33.56362932,NA-54,NA-54
73.06578526,33.60197109,NA-55,NA-55
73.09521856,33.60424492,NA-56,NA-56
72.36947217,33.78619176,NA-57,NA-57
72.15922365,33.30984836,NA-58,NA-58
72.64042805,33.57324611,NA-59,NA-59
72.92730997,32.81389236,NA-60,NA-60
72.33036298,32.88344174,NA-61,NA-61
73.50268563,32.97262092,NA-62,NA-62
73.21916907,32.63030917,NA-63,NA-63
72.92019466,32.33954176,NA-64,NA-64
73.02460544,32.07483276,NA-65,NA-65
72.64751294,32.07628657,NA-66,NA-66
72.73581784,31.91918212,NA-67,NA-67
72.42265296,31.93857189,NA-68,NA-68
72.18748806,32.41527692,NA-69,NA-69
72.03369816,31.93790057,NA-70,NA-70
71.53070075,32.7994286,NA-71,NA-71
71.55899949,32.36804099,NA-72,NA-72
71.43221643,31.88064709,NA-73,NA-73
71.43843495,31.43272239,NA-74,NA-74
73.3100408,31.55140942,NA-75,NA-75
73.53981605,31.30115321,NA-76,NA-76
73.32746834,31.18781546,NA-77,NA-77
73.03414643,30.88326404,NA-78,NA-78
72.9494723,31.03328464,NA-79,NA-79
73.06018041,31.2541536,NA-80,NA-80
72.99485458,31.40329403,NA-81,NA-81
73.13642215,31.41721001,NA-82,NA-82
73.16150533,31.37163521,NA-83,NA-83
73.11745845,31.36530005,NA-84,NA-84
73.10342489,31.40555039,NA-85,NA-85
72.9495882,31.61833762,NA-86,NA-86
72.57934308,31.35329929,NA-87,NA-88
72.54863775,31.61536943,NA-88,NA-87
72.32439063,31.22144487,NA-89,NA-89
72.14709234,30.89783229,NA-90,NA-90
71.96518823,31.10427652,NA-91,NA-91
72.68425515,31.11993705,NA-92,NA-92
72.5353382,30.91068609,NA-93,NA-93
72.47397213,30.69815375,NA-94,NA-94
74.25906375,32.15535735,NA-95,NA-95
74.24942,32.14027888,NA-96,NA-96
74.25884117,32.21417517,NA-97,NA-97
74.19400738,32.11317338,NA-98,NA-98
74.39955902,32.0121637,NA-99,NA-99
74.026144,32.00140489,NA-100,NA-100
74.05141207,32.31852362,NA-101,NA-101
73.70708588,32.08517473,NA-102,NA-102
73.46050256,31.89369327,NA-103,NA-103
74.27383918,32.64754939,NA-104,NA-104
74.03762356,32.46962603,NA-105,NA-105
73.89879831,32.62412736,NA-106,NA-106
73.9408451,32.80767527,NA-107,NA-107
73.69642985,32.45833829,NA-108,NA-108
73.38025688,32.32193582,NA-109,NA-109
74.58447677,32.47832912,NA-110,NA-110
74.56955646,32.58158302,NA-111,NA-111
74.39435518,32.43005588,NA-112,NA-112
74.51343651,32.21774656,NA-113,NA-113
74.72235344,32.34555687,NA-114,NA-114
74.94448734,32.31172603,NA-115,NA-115
75.16301662,32.25358554,NA-116,NA-116
74.86673927,32.08592926,NA-117,NA-117
74.35224903,31.6062514,NA-118,NA-118
74.37423475,31.58559304,NA-119,NA-119
74.35597291,31.55996375,NA-120,NA-120
74.32665594,31.51076994,NA-121,NA-121
74.40041146,31.52034252,NA-122,NA-122
74.42670008,31.57697842,NA-123,NA-123
74.48275576,31.53872107,NA-124,NA-124
74.45881473,31.47185178,NA-125,NA-125
74.37172949,31.4494853,NA-126,NA-126
74.38171141,31.40384929,NA-127,NA-127
74.22978508,31.33049913,NA-128,NA-128
74.45611885,31.33378543,NA-129,NA-129
74.56340694,31.52564255,NA-130,NA-130
74.478758,31.81692119,NA-131,NA-131
74.17975044,31.5176965,NA-132,NA-132
74.13309121,31.67870254,NA-133,NA-133
73.86804683,31.73174005,NA-134,NA-134
73.5689054,31.66111872,NA-135,NA-135
73.92553465,31.43748081,NA-136,NA-136
73.67508251,31.26292332,NA-137,NA-137
74.32917356,31.15768928,NA-138,NA-138
74.52751237,31.05752849,NA-139,NA-139
74.28691489,30.84185545,NA-140,NA-140
74.02941492,30.93235811,NA-141,NA-141
73.92145222,31.10356068,NA-142,NA-142
73.50361084,30.91554323,NA-143,NA-143
73.48448925,30.66812732,NA-144,NA-144
73.77906502,30.82144986,NA-145,NA-145
73.72565572,30.61255482,NA-146,NA-146
73.9379081,30.51390304,NA-147,NA-147
71.66305496,30.14238014,NA-148,NA-148
71.47234277,30.18640154,NA-149,NA-149
71.41966295,30.16997638,NA-150,NA-150
71.50273727,30.26157633,NA-151,NA-151
71.40950229,29.93934121,NA-152,NA-152
71.29217535,29.61709299,NA-153,NA-153
71.6322137,29.65097133,NA-154,NA-154
71.95175769,29.75662704,NA-155,NA-155
71.89100327,30.51299634,NA-156,NA-156
72.05719687,30.39896371,NA-157,NA-157
72.38861332,30.45471687,NA-158,NA-158
72.04857158,30.18387994,NA-159,NA-159
73.31213739,30.69155469,NA-160,NA-160
73.13918681,30.62438743,NA-161,NA-161
72.90413917,30.5520492,NA-162,NA-162
72.63379458,30.4060369,NA-163,NA-163
73.43317954,30.43773584,NA-164,NA-164
73.38538271,30.23433589,NA-165,NA-165
73.09698509,30.26358604,NA-166,NA-166
72.8635648,30.20511408,NA-167,NA-167
72.64783496,30.07302666,NA-168,NA-168
72.35704673,30.04877031,NA-169,NA-169
72.14727235,29.89891067,NA-170,NA-170
70.46785858,30.72384027,NA-171,NA-171
70.26269335,30.00067015,NA-172,NA-172
70.69091329,30.06304974,NA-173,NA-173
70.19021267,29.58178406,NA-174,NA-174
69.9525118,28.98001444,NA-175,NA-175
71.26112651,30.49711767,NA-176,NA-176
70.99257862,30.21745522,NA-177,NA-177
71.11076512,29.98777155,NA-178,NA-178
70.94508274,29.6901388,NA-179,NA-179
70.78800965,29.32040491,NA-180,NA-180
71.36348122,31.02395622,NA-181,NA-181
71.02919188,30.855032,NA-182,NA-182
71.12706179,29.21192509,NA-183,NA-183
71.43904175,29.32471929,NA-184,NA-184
71.86326137,29.44423762,NA-185,NA-185
72.48641947,29.67029687,NA-186,NA-186
71.76126294,28.69670929,NA-187,NA-187
73.58378947,30.11104697,NA-188,NA-188
73.19191481,29.8265503,NA-189,NA-189
72.90749946,29.65259573,NA-190,NA-190
72.85941938,29.19969972,NA-191,NA-191
70.83249926,28.99047949,NA-192,NA-192
70.69245768,28.22574925,NA-193,NA-193
70.50598534,28.76854083,NA-194,NA-194
70.17830229,28.52619043,NA-195,NA-195
70.3488365,28.35087475,NA-196,NA-196
69.9311748,28.24783712,NA-197,NA-197
68.785343,27.752553,NA-198,NA-198
69.19362268,27.4861261,NA-199,NA-199
69.79588307,27.88770182,NA-200,NA-200
69.48970905,27.73930303,NA-201,NA-201
68.67798607,28.03865438,NA-202,NA-202
68.53917622,27.86139186,NA-203,NA-203
68.19022341,27.55609957,NA-204,NA-204
68.0215305,27.36491924,NA-205,NA-205
67.62791171,27.62100324,NA-206,NA-206
68.13127067,27.80119185,NA-207,NA-207
68.32945471,28.17615937,NA-208,NA-208
68.90910739,28.29418013,NA-209,NA-209
69.30572497,28.26112429,NA-210,NA-210
68.04762668,26.73053281,NA-211,NA-211
68.20180436,27.02449871,NA-212,NA-212
68.48857484,26.41209602,NA-213,NA-213
68.12283115,26.30096316,NA-214,NA-214
68.68636909,27.41768972,NA-215,NA-215
69.17934379,26.70547138,NA-216,NA-216
68.46344433,27.46801544,NA-217,NA-217
68.45289841,25.76376773,NA-218,NA-218
68.38963321,25.27071795,NA-219,NA-219
68.35255413,25.41395188,NA-220,NA-220
68.45385922,25.42476666,NA-221,NA-221
68.48504316,25.05650656,NA-222,NA-222
68.77545448,25.46575151,NA-223,NA-223
68.96650986,24.9739678,NA-224,NA-224
68.77214497,24.59196832,NA-225,NA-225
69.13602562,25.51425474,NA-226,NA-226
69.25416645,25.16036551,NA-227,NA-227
69.84785501,25.374023,NA-228,NA-228
69.84243346,24.61733223,NA-229,NA-229
70.57573681,24.97482597,NA-230,NA-230
67.79129801,25.73502849,NA-231,NA-231
67.48353796,26.64333948,NA-232,NA-232
67.51312124,27.14105821,NA-233,NA-233
68.9805139,26.09276853,NA-234,NA-234
69.56281431,25.87474578,NA-235,NA-235
68.59837728,25.97522326,NA-236,NA-236
67.70952774,24.71244455,NA-237,NA-237
68.15629908,24.23621885,NA-238,NA-238
66.84357881,24.91489241,NA-239,NA-239
66.98927796,24.89643836,NA-240,NA-240
66.99189059,24.92761899,NA-241,NA-241
67.00852519,24.96783974,NA-242,NA-242
67.02891643,25.03799328,NA-243,NA-243
67.07478084,24.97876265,NA-244,NA-244
67.04673001,24.95271286,NA-245,NA-245
67.06525984,24.93007764,NA-246,NA-246
67.02237981,24.88150024,NA-247,NA-247
66.94385119,24.83704623,NA-248,NA-248
66.97963121,24.8316901,NA-249,NA-249
67.04585705,24.79978522,NA-250,NA-250
67.06400205,24.83870757,NA-251,NA-251
67.05215,24.86250118,NA-252,NA-252
67.10387993,24.91627501,NA-253,NA-253
67.10784063,24.8096462,NA-254,NA-254
67.17763141,24.84862545,NA-255,NA-255
67.14367803,24.88113692,NA-256,NA-256
67.19085279,24.94377753,NA-257,NA-257
67.29097656,25.15372978,NA-258,NA-258
67.0843261,30.29656699,NA-259,NA-259
63.68719994,29.07079188,NA-260,NA-260
67.30748671,30.72914123,NA-261,NA-261
66.67869941,30.74610477,NA-262,NA-262
69.27323167,30.42331182,NA-263,NA-263
68.77765548,31.22812134,NA-264,NA-264
68.63777521,29.43619041,NA-265,NA-265
68.14741489,28.46545566,NA-266,NA-266
67.65486459,28.96793982,NA-267,NA-267
66.65477083,29.15373472,NA-268,NA-268
66.64691291,27.45989097,NA-269,NA-269
65.83836835,26.04423466,NA-270,NA-270
64.47346391,27.61826189,NA-271,NA-271
63.07763158,25.7850791,NA-272,NA-272